SK_PRODUTO;NK_ID_PRODUTO;NM_PRODUTO;NM_CATEGORIA_PRODUTO
0986f08539159ff3421d33a6af33756cdc30bc58961e84dbdc12c0975b4c6ca3;37175;Fast Fudge Cookies;P01
244c5e81fe2bc7a2313b4ccebddeaef56f6f69fe02b0555de4539733bba0dcbf;60035;Golden Waffles;P01
65b508292b36346265a84ded318c210089e0af199e0350fce39e4ca3aad4a11a;39637;Even Better Low Fat Cottage Cheese;P01
7ea506e11349e12b7ed1c7a90ff6a80087c231acb7de8b79f42ef165c9c603c4;1z9483441245619172;Imagine Orange Popsicles;Nao informado
85fb4da8e8a33daa848049208e8c898ae685451a9e34b5131942db2fb078f795;61501;Excellent Mango Drink;P01
90141d1de6b92de05827c67ca2c27764d6bf89a3869a69b508b4c3f66c57e175;11967;High Top Firm Tofu;P01
a8a65ba63539a29081add3ee778a6fe33a310b97372eb2bbda999010e31b3696;61531;Excellent Strawberry Drink;Nao informado
a9f4abbf3c2674a172514d9efc48a6ec081b6d9a2fef1914ac9d5bbbea3f209f;28671;Ebony Fancy Plums;Nao informado
b8e13dd550fbb3b5d5c3c5a1735e5d4a054c3fa99c4139a04b0449f19716a679;Nao informado;Just Right Chicken Soup;Nao informado
bdbbb9487b40989bc3b4d740cb4c41a31bc32c8d31075453ec784b576097c2a1;1Z9483440146698767;Washington Apple Drink;Nao informado
e4503997dec605e01e4057a6f9e28938a55054afbe9bb86d7721a77c69af1287;EXPEDITORS - AIR;Fast Avocado Dip;Nao informado
f175f7c9362c7a5dfcd74a252181f8879f959e10d587ae2e20da44bf7d4e2109;1Z9483440145343169;Landslide Brown Sugar;Nao informado
9b8a62ab1bdf1c27945c4f95d648cf6bddb6da687581076e0b343f676d8d19fa;61747;Carlson Muenster Cheese;P01
044ce5ca300b3f9e063f5a3b362dea5d7eca252f12c5141c98584e56ecd1d67b;29257;Thresher White Chocolate Bar;P01
4e81497ee5c59759948c88d304f569b23d54356161b727f64db7fb95f1647cae;61020;Best Choice Sesame Crackers;P01
6e9c1fce0b9116f254ff38b92ae69866c2870a28807b7419f3910dc5390fcc21;64670;Even Better Strawberry Yogurt;P01
7038d5fb9c1b8991a7ea2b8fc801c815c3bdf422c7ee46c427d5595748bc8a31;35290;Urban Small Eggs;Nao informado
afe132ef3dbb800501ef76915ab0fc0ba40c1267f2d1470f9b6ade3d1393f1ce;1z9483440145107950;Imagine Frozen Cauliflower;Nao informado
ce6730a3836f8962d81979f05e898c91de9e0f4530b435e4f3b05fc8c01c8890;5013246362;Big Time Frozen Broccoli;Nao informado
