SK_DATA;DATA;NR_ANO;NM_TRIMESTRE;NM_MES;NR_SEMANA;NR_DIA;NM_DIA_SEMANA;NR_DIA_SEMANA
273aa1898505e18fdda5d4d7afa900c996b6f6dee234b15a2cf855d94fb90ab4;2017-10-06;2017;4º Trimestre;Outubro;40;6;Sexta-feira;6
660477d4926e011ca5385c07619a124283a9b447f27be9ad573940d22bda58bb;2018-02-12;2018;1º Trimestre;Fevereiro;7;12;Segunda-feira;2
be52f72ae40585058175a15c4781c9ffe17c2399bd09848a250bf03e25926a0e;2019-01-11;2019;1º Trimestre;Janeiro;2;11;Sexta-feira;6
2bde41a9aa80008e6f9b9c120a18652f15d1246e2007c04ac3c601b8db1d2eb1;2017-05-26;2017;2º Trimestre;Maio;21;26;Sexta-feira;6
84cb05a5a5fe62a98f0291e0fdfcf5e124abd1d77bbff83ba397d0edd45c7aff;2017-09-06;2017;3º Trimestre;Setembro;36;6;Quarta-feira;4
90a13002f06444847336e8b15444eb0a809e1c5d7e214f196f31b0db18f358ea;2017-08-09;2017;3º Trimestre;Agosto;32;9;Quarta-feira;4
97e3fbe5e446ca6ce2431b321fb9494b7edd1f1480309dd6a77d4f5381da5afe;2018-01-19;2018;1º Trimestre;Janeiro;3;19;Sexta-feira;6
9c68542e499d4cfe10272fcd68d8fd8de9c5490b4c6e9dcf8846b4413f9965e4;2017-05-01;2017;2º Trimestre;Maio;18;1;Segunda-feira;2
b829801ecd3086bc98c74100470d18634c84b688655f145dd26d1e3e632265d3;2018-01-14;2018;1º Trimestre;Janeiro;2;14;Domingo;1
678a28ea26243355c2859e70a5b7a7ad61fe3667e2f99c7b484bc534b96092ce;2018-02-23;2018;1º Trimestre;Fevereiro;8;23;Sexta-feira;6
7c5f196454a6c088ac2c73a5d3f851c257e0c9cb77f119a544096e49f9c95d32;2017-12-11;2017;4º Trimestre;Dezembro;50;11;Segunda-feira;2
d1783858abe65c4a4009c267fa89cad31ddc3403ec7be29c7e414a626f8eeed7;2017-04-05;2017;2º Trimestre;Abril;14;5;Quarta-feira;4
018ba92ce71a009a18ac2ed36dc1a4325861a4771befeffceaee8047d2a7b8b6;2018-07-12;2018;3º Trimestre;Julho;28;12;Quinta-feira;5
89240528686104bc8792539381fbb8bb5851187df6addf2dff7a98df72d4850f;2017-07-31;2017;3º Trimestre;Julho;31;31;Segunda-feira;2
101e13025b6ee1372432cd04ec305df50026a9d21a092bfb1af7b37943092686;2017-11-08;2017;4º Trimestre;Novembro;45;8;Quarta-feira;4
20ee907f705bec7118b2e49843e15cd4ff77787bd2f6c2a6cf42481999eff7d2;2019-03-04;2019;1º Trimestre;Março;10;4;Segunda-feira;2
539ab616c7fc7bbb92b67fd7372156f3bae9a2b9c4b3bb442e9a07e2a4115ef4;2017-09-29;2017;3º Trimestre;Setembro;39;29;Sexta-feira;6
7d29ede3122bc8324a9e0cb3ece7620fb1ca8085d5ea5458140c22973669eb4b;2017-06-07;2017;2º Trimestre;Junho;23;7;Quarta-feira;4
7fccb041c843fa9a52d9741ae40b302efa508d48603803a1f5bd3a6fd12f848e;2017-12-14;2017;4º Trimestre;Dezembro;50;14;Quinta-feira;5
83b40a67718169064015eba75442889a2302e2d62ea3fa0244f2aee994d357e8;2018-07-27;2018;3º Trimestre;Julho;30;27;Sexta-feira;6
88aad16b8e453e093c0f351027752e60cf20b12e1353cbc576d7e060dfdbd676;2017-02-22;2017;1º Trimestre;Fevereiro;8;22;Quarta-feira;4
da6ee3e9572565fcf69800f4da570b7b004a96c39f114a6ec12693ea40eafd4e;2018-05-21;2018;2º Trimestre;Maio;21;21;Segunda-feira;2
fead3f08b0319972c90e52158c9bd5882945805389ba87773fa61ae8657df108;2018-02-13;2018;1º Trimestre;Fevereiro;7;13;Terça-feira;3
16515c5a731d5680794e9ea7c18eb61ab20b1368590bae247ad2c2c4b5490a61;2018-04-13;2018;2º Trimestre;Abril;15;13;Sexta-feira;6
3e444174add1e6e6a4f359d6e409386fbae3d2f72e2f78a09ce29b75e1a620a4;2018-09-17;2018;3º Trimestre;Setembro;38;17;Segunda-feira;2
5474a3ecceda8dd8d7cbb3ecadf6a946387679f19e6510353e988a9d8d8882a5;2018-01-07;2018;1º Trimestre;Janeiro;1;7;Domingo;1
6effb49bbcb771302e8be79b390b49cb5812a4b11a6dca8ad116a841c8b943e8;2017-12-28;2017;4º Trimestre;Dezembro;52;28;Quinta-feira;5
a37b46ab4bc1745a0e301e99602c61f879b51846d7d1a6845ebf98725c8873d4;2017-04-27;2017;2º Trimestre;Abril;17;27;Quinta-feira;5
d81435185902d138165a2ba04e136b3e56182630266d85b5b44cd1847e4dc4e3;2017-07-06;2017;3º Trimestre;Julho;27;6;Quinta-feira;5
ffa50de4dab68e402d7ac2dae0bcaa6f3a2de3e414471d866d0cc51074698244;2017-06-26;2017;2º Trimestre;Junho;26;26;Segunda-feira;2
03f0cb9bd660bc403cde20c5363b8f03175a0d7c2fe218dd9ffd9103af8fedc6;2019-02-19;2019;1º Trimestre;Fevereiro;8;19;Terça-feira;3
9fc58ac75a107c6f038207c70cc04e54f242531ce89fe01cff36e45a7452e445;2017-12-04;2017;4º Trimestre;Dezembro;49;4;Segunda-feira;2
b0cfd4018e23891f3c483aa19db6c400529c6118bd6f2febd78ff4aebb8925ea;2017-05-23;2017;2º Trimestre;Maio;21;23;Terça-feira;3
c4b10712935c0c7bff625da13ff15cf57ed694cf8b7ca819a305bd227e870fcf;2017-09-27;2017;3º Trimestre;Setembro;39;27;Quarta-feira;4
ce0ec9c8d0b95c71524f25e48ca06d3aea7e8e1035389b145ff92e588ebe2835;2018-12-27;2018;4º Trimestre;Dezembro;52;27;Quinta-feira;5
fcea36e23deac8a3fe794466d463b44da3ebab47878841d344fd1c3a0dee2fa4;2017-08-15;2017;3º Trimestre;Agosto;33;15;Terça-feira;3
80d247e15ae6e8312dd62d5eca3a4324875b674da8cb287c1f65bd2f42e5a448;2019-02-18;2019;1º Trimestre;Fevereiro;8;18;Segunda-feira;2
b5331e17c059263ea3349cc182e2907e7372169d24de1fa23630d78adea75587;2017-10-13;2017;4º Trimestre;Outubro;41;13;Sexta-feira;6
cf1b00a62742d873ab8d086824e51fa4fe5c95870278a1ecd14bb8d306f4daeb;2018-05-14;2018;2º Trimestre;Maio;20;14;Segunda-feira;2
153289d4b4287e656a84fc53c857cdee77af381c233b464068ab6f1ec06ebf86;2017-12-29;2017;4º Trimestre;Dezembro;52;29;Sexta-feira;6
2b44370a6649f0c47fede4304ded563b753d4bae1d0b5869c31e5450d4c3d6ba;2017-04-21;2017;2º Trimestre;Abril;16;21;Sexta-feira;6
